AHRI #,CONDENSER,COIL,FURNACE,EER2,SEER2,HSPF2,FINANCE,25C
214589057.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0403A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589047.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0603A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589068.0,RP14AY18AJ1NA,RCFY2417STANMC,R951V0703A17M4SCAP,11.7,14.3,7.5,Yes - Furn w/Econet,No
214589482.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589450.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0603A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589468.0,RP14AY24AJ2NA,RCFY2417STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589704.0,RP14AY30AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589706.0,RP14AY30AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214592271.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591354.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214592261.0,RP14AY30AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589964.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0403A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589966.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0603A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214589975.0,RP14AY36AJ2NA,RCFY3617STANMC,R951V0703A17M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591887.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591898.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V0855A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214591797.0,RP14AY36AJ2NA,RCFY3621STANMC,R951V1005A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
214590176.0,RP14AY42AJ2NA,RCFY4821STANMC,R951V0705A21M4SCAP,10.5,14.8,7.5,Yes - Furn w/Econet,No
